Time,Temperature,Pressure,Sound,Light,Pressure,Humidity
s,°C,kPa,dBA,lx,kPa,%RH
125.76,30.3,98.4,69.5,142,98.95,44.1
126.72,30.3,98.4,75.4,142,98.95,44.1
127.68,30.3,98.4,74.9,143,98.97,44.1
128.64,30.3,98.4,40,142,98.97,44.1
129.6,30.3,98.4,74.2,142,98.97,44.1
130.56,30.3,98.4,60.5,142,98.95,44.1
131.52,30.3,98.4,69.2,142,98.95,44.1
132.48,30.3,98.4,73,142,98.96,44.1
133.44,30.3,98.4,61,142,98.96,44.1
134.4,30.3,98.6,68.7,142,98.95,44.1
135.36,30.3,98.6,44.5,142,98.94,44.1
136.32,30.2,98.6,40,142,98.94,44.1
137.28,30.2,98.4,78.5,142,98.93,44.1
138.24,30.2,98.6,59,143,98.95,44.1
139.2,30.2,98.6,65.1,144,98.96,44.1
140.16,30.2,98.6,60.1,144,98.94,44
141.12,30.2,98.6,56.8,144,98.93,44
142.08,30.2,98.6,73.4,143,98.96,44
143.04,30.2,98.6,75.2,143,98.94,44
144,30.2,98.6,55.2,142,98.95,44
144.96,30.2,98.6,40,141,98.95,44
145.92,30.2,98.6,62.1,141,98.96,44
146.88,30.2,98.6,49.9,141,98.93,44
147.84,30.2,98.6,42,140,98.92,44
148.8,30.1,98.6,40,140,98.96,44
149.76,30.1,98.6,40,140,98.94,44
150.72,30.1,98.6,40,140,98.94,44
151.68,30.1,98.6,54.2,140,98.95,44
152.64,30.1,98.6,77.3,139,98.95,44
153.6,30.1,98.6,57.4,139,98.94,44
154.56,30.1,98.6,43.2,139,98.94,44
155.52,30.1,98.6,40,139,98.93,44
156.48,30.1,98.6,66.2,139,98.94,44
157.44,30.1,98.6,40,139,98.96,44
158.4,30.1,98.6,70.7,139,98.95,44
159.36,30.1,98.6,73.2,139,98.96,44
160.32,30.1,98.6,72.5,140,98.94,44
161.28,30.1,98.6,70.4,141,98.96,44
162.24,30.1,98.6,65.4,142,98.98,44
163.2,30.1,98.6,57.7,143,98.95,44
164.16,30,98.6,72.3,144,98.95,44
165.12,30,98.6,67.5,143,98.95,44
166.08,30,98.6,74.7,143,98.98,44
167.04,30,98.8,47.1,143,98.96,44
168,30,98.8,65.9,143,98.98,44
168.96,30,98.8,53.3,143,98.97,44
169.92,30,98.6,68.5,141,98.93,44
170.88,30,98.8,63.3,137,98.92,43.9
171.84,30,98.6,40,142,98.93,43.9
172.8,30,98.6,67,143,98.92,43.9
173.76,30,98.6,45.1,142,98.98,43.9
174.72,30,98.4,53.7,142,98.96,43.9
175.68,30,98.4,45.2,142,98.96,43.9
176.64,30,98.2,40,143,98.91,43.9
177.6,30,98.4,41.8,143,98.95,43.9
178.56,30,98.4,50.6,143,98.95,43.9
179.52,30,98.4,70,143,98.97,43.9
180.48,30,98.4,84.4,142,98.95,43.9
181.44,30,98.4,59.5,141,98.96,43.9
182.4,30,98.4,55.7,142,98.95,43.9
183.36,30,98.4,61.8,174,98.94,43.9
184.32,30,98.4,68.6,161,98.92,43.9
185.28,30,98.4,62.9,157,98.95,43.9
186.24,30,98.4,68,134,98.93,43.9
187.2,30,98.4,70.2,126,98.94,44
188.16,30,98.4,95.3,128,98.98,44
189.12,29.9,98.4,50.8,142,98.96,45.7
190.08,29.9,98.6,49.5,159,98.96,47.3
191.04,29.9,98.4,48,159,98.95,47.9
192,29.9,98.6,40,156,98.95,48.2
192.96,29.9,98.6,60.6,152,98.95,48.6
193.92,29.9,98.6,73.8,149,98.92,49.5
194.88,29.9,98.6,67.3,149,98.95,50.3
195.84,29.9,98.6,56.5,149,98.96,51.1
196.8,29.9,98.6,75.6,150,98.94,51.8
197.76,29.9,98.6,70.7,156,98.96,52.5
198.72,29.9,98.6,43.7,173,98.94,53.2
199.68,29.9,98.6,40,207,98.95,53.6
200.64,29.9,98.6,78.2,211,98.95,53.9
201.6,29.9,98.6,45.5,213,98.94,54.1
202.56,29.9,98.6,64.8,213,98.93,54.1
203.52,29.9,98.6,51.9,210,98.97,54.1
204.48,29.9,98.6,40,197,98.95,53.9
205.44,29.8,98.6,64.3,184,98.96,53.7
206.4,29.8,98.6,84,196,98.97,53.3
207.36,29.8,98.6,45.1,149,98.95,53.2
208.32,29.8,98.6,70.6,142,98.93,53.3
209.28,29.8,98.6,51.2,141,98.92,53.2
210.24,29.8,98.6,71.5,142,98.97,53.1
211.2,29.8,98.6,71.8,142,98.94,53
212.16,29.8,98.6,40,141,98.93,52.9
213.12,29.8,98.6,75.4,139,98.96,52.9
214.08,29.8,98.6,63.3,140,98.95,52.9
215.04,29.8,98.6,58.8,140,98.95,52.9
216,29.8,98.6,40,140,98.96,53
216.96,29.8,98.6,45,140,98.93,53.1
217.92,29.7,98.6,47.7,140,98.91,53.1
218.88,29.7,98.6,40,140,98.94,53.2
219.84,29.7,98.8,59.8,140,98.94,53.3
220.8,29.7,98.8,61.3,139,98.94,53.4
221.76,29.7,98.8,47.9,139,98.95,53.4
222.72,29.7,98.8,61.7,138,98.95,53.5
223.68,29.7,98.8,40,137,98.94,53.6
224.64,29.7,98.8,40,137,98.95,53.7
225.6,29.7,98.8,83,137,98.95,53.7
226.56,29.7,98.8,67.1,136,98.95,53.8
227.52,29.7,98.8,58.5,136,98.97,53.8
228.48,29.7,98.8,54.8,135,98.95,53.8
229.44,29.7,98.8,61.1,135,98.96,53.9
230.4,29.7,98.8,76.3,135,98.96,53.9
231.36,29.7,98.8,72.2,135,98.94,53.9
232.32,29.7,98.8,65.9,135,98.95,54
233.28,29.7,98.8,67,135,98.96,54
234.24,29.7,98.8,40,135,98.93,54
235.2,29.7,98.8,71.6,135,98.94,54
236.16,29.7,99,75.1,134,98.96,54
237.12,29.7,99,61.4,134,98.96,54
238.08,29.7,99,73.1,133,98.95,54
239.04,29.7,99,50.6,133,98.93,54
240,29.7,99,72,133,98.95,54
240.96,29.6,99,40,133,98.93,54
241.92,29.6,99,68,132,98.95,54
242.88,29.6,99,40,132,98.92,54
243.84,29.6,99,73.9,133,98.98,54
244.8,29.6,99,63.4,133,98.94,53.9
245.76,29.6,99.2,76.7,134,98.94,53.9
246.72,29.6,99,43.5,134,98.95,53.9
247.68,29.6,99,68.6,133,98.97,53.8
248.64,29.6,99,84.2,133,98.93,53.8
249.6,29.6,99,73.1,133,98.94,53.8
250.56,29.6,99.2,58.5,132,98.93,53.7
251.52,29.6,99.2,40,131,98.93,53.7
252.48,29.7,99.2,40,131,98.95,53.7
253.44,29.8,99.2,58.8,131,98.95,53.6
254.4,29.8,99.2,57.5,130,98.95,53.6
255.36,29.9,99.2,40,129,98.97,53.6
256.32,29.9,99.2,53.7,129,98.94,53.6
257.28,30,99.2,62.6,129,98.95,53.5
258.24,30.1,99.2,74.3,129,98.93,53.5
259.2,30.4,99.2,64.6,128,98.96,53.5
260.16,30.7,99.2,62,128,98.94,53.4
261.12,30.9,99.2,40,129,98.96,53.4
262.08,31.1,99.2,55,127,98.93,53.4
263.04,31.3,99.2,69.5,125,98.98,53.3
264,31.5,99.2,61.6,124,98.95,53.3
264.96,31.7,99.2,55.7,127,98.95,53.3
265.92,31.8,99.2,50.5,127,98.93,53.3
266.88,32,99.2,40,127,98.98,53.2
267.84,32.1,99.2,76.7,128,98.97,53.2
268.8,32.2,99.2,72.8,128,98.94,53.1
269.76,32.3,99.2,65.9,127,98.94,53.1
270.72,32.4,99.2,73.6,127,98.97,53.1
271.68,32.5,99.2,43.8,127,98.95,53
272.64,32.6,99.2,52.1,128,98.93,53
273.6,32.6,99.2,48.2,128,98.92,53
274.56,32.7,99.2,77.5,128,98.99,52.9
275.52,32.7,99.2,56.2,129,98.91,52.9
